estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.005666713044585212,0.2477473807723999,0.5868766405722294,0.253594140990427
MGH,0.006272037881931301,0.28075361820873973,0.6673383673735361,0.12706088701560614
CCA,0.013370053702923284,0.24466503471324888,0.739551496365052,0.5223577959861663
SFE,0.008927548781184033,0.27111036595441246,0.6931328022372495,0.4442909183036049
UAX,0.01526311455255727,0.24211869011367543,0.77798732791154,0.5809297309758773
CUA,0.002412649163872163,0.056136770469748354,0.9826966783378296,0.9661321038073425
NEZ,0.010369408060406584,0.24239393559502806,0.7657477698335896,0.5758094203921686
CAM,0.012656926071714609,0.23652904564950455,0.7727676427642646,0.592194361298229
LPR,0.0024081082138419706,0.048412726202161895,0.9879765752447596,0.9738115493572919
SJA,0.014621577963037377,0.21557552919425998,0.7832214528191236,0.6111287211885641
IZT,0.012994693802936998,0.26162693138637066,0.7775327048921096,0.5805372678911265
SAG,0.006846939996503591,0.22117008674563063,0.7449371285720191,0.5527141937972146
TAH,0.007414563703421279,0.22557965534245436,0.7576076121698971,0.5744612069481407
ATI,0.004312097997702187,0.07350922315639036,0.975527681323376,0.9500155599014726
FAC,0.006879742339994838,0.23306938552126233,0.7262038778587708,0.5285681096533061
UIZ,0.0036416499868291295,0.04904568819384655,0.9899242131859229,0.9804667873096552
MER,0.004519827089631819,0.060764793114206524,0.9869319901892645,0.9726078550387166
PED,0.0030242314103132665,0.05262506642826394,0.9884815821931202,0.9763347194474679
TLA,0.003959544510373136,0.06247988330272434,0.9855350383570111,0.970800631640523
XAL,0.0038538559707730095,0.06148415893168312,0.9835046110198056,0.9661477601408269
CHO,0.01119607200970973,0.2515577664747831,0.7558285662497343,0.5309008709504006
BJU,0.005413425262595296,0.13750136292255738,0.9376755978366674,0.8401369668376181
